codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
510590,2021,72713.40986172711,15796.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
520400,2021,58776.36453445295,7689.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
520396,2021,27174.816625916872,3140.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521920,2021,106131.56002875628,3004.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510335,2021,47914.82728519766,38460.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
520920,2021,24477.333521047443,20985.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
500350,2021,35616.92946058091,5768.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500348,2021,26926.73421667966,11521.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
521500,2021,19354.94947512999,9883.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
510820,2021,60606.251792371666,4238.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
521520,2021,30719.63963963964,3567.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
521565,2021,49917.00288184438,3113.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510740,2021,14360.978643997512,4250.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
510330,2021,59208.29215492494,18469.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
520393,2021,23104.70779220779,2800.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521350,2021,13732.389542185181,6534.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520390,2021,49159.01208617972,10930.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
510340,2021,47695.72524029287,691875.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
521910,2021,23000.447694373976,6306.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520140,2021,28215.265085304498,556021.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
521560,2021,30054.497158036047,37207.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
500320,2021,34145.72775120042,98751.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
522157,2021,27371.862849063273,2798.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
522150,2021,45161.73221387539,4449.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
